STT;Mã Đơn Vị;Mã khối;Tên Đơn Vị;Địa chỉ;Giờ;Thứ;Ngày;Tại;Địa chỉ
461;TI0892I;TI;CTY CP Thiết Bị Quang Minh;132 Dương Đình Hội, P. Phước Long B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
462;TI0894I;TI;CTY TNHH SX TM Đúc Việt;10 đường 265, P.Hiệp Phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
463;TI0898I;TI;Công Ty TNHH Đầu Tư Hoàng Quân;237 Đường 154, KP 4, P. Tân Phú, Quận 9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
464;TI0901I;TI;CTY TNHH TV TK & XD Lê Na;C6/2 Lê Văn Việt,  P.Tăng Nhơn Phú A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
465;TI0903I;TI;CTY CP TK TV XD TM Kim Long;229 Đại Lộ 3, P.Phước Bình, Quận  9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
466;TI0905I;TI;CTY TNHH TM KD Địa ốc Triết Nhung;623i Đỗ Xuân Hợp, P.Phước Long A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
467;TI0906I;TI;CTY TNHH XD Điện TM Quang Minh;102C Quang Trung, Kp2, P.Tăng Nhơn Phú B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
468;TI0907I;TI;CTY CP Thiết Kế & Xây Dựng Minh Đức;243 Dương Đình Hội, P. Tăng Nhơn Phú B, Q. 9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
469;TI0909I;TI;CTY TNHH MTV Lộc Đông Bắc;22/2 KP Giãn Dân, đường Hoàng Hữu Nam, P.Long Bình, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
470;TI0910I;TI;CTY TNHH TK & XD Điện Thành Phát;769/28 Nguyễn Xiển, P.Long Thạnh Mỹ, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
471;TI0914I;TI;CTY TNHH XNK Trầm Hương Liên Thế;198/13 Long Phước, Kp Long Thuận, P.Long Phước, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
472;TI0916I;TI;CTY CP XD - TM Bình Thanh;84A Đình Phong Phú, P.Tăng Nhơn Phú b, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
473;TI0917I;TI;CTY TNHH Bảo Nhân;80 đường 10, tổ 3, kp3, Tăng Nhơn Phú B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
474;TI0919I;TI;CTY CP TV TK Toàn Cầu;Số 5 Đình Phong Phú, P.Tăng Nhơn Phú B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
475;TI0921I;TI;Cty cổ phần TVTK CNXD Phú An;86 KP1 Ngô Quyền, P.Hiệp Phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
476;TI0922I;TI;Cty TNHH Cơ giới Thuận Việt;78 đường 61 KP3, P.Phước Long B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
477;TI0923I;TI;CTY TNHH TB CN Hoàng Minh;2/23 đường 147, Kp2, P.Tăng Nhơn Phú B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
478;TI0928I;TI;Cty Cổ phần xây dựng Đinh Lê Đan;54 đường 8, P.Tăng Nhơn Phú B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
479;TI0930I;TI;Cty Cổ phần Đầu tư - Phát triển Đông Đô;74A Làng Tăng Phú, P.TNP A, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
480;TI0934I;TI;CTY TNHH Phương Anh Vĩnh Long;56 đường 24, ấp Long Hòa, P.Long Thạnh Mỹ, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
481;TI0940I;TI;CTy TNHH DV DL VT Long Anh;82/4 đường 2, Long Đại, Long Phước, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
482;TI0941I;TI;Cty TNHH ĐT&PT Công Nghệ Thông Minh;Lô I3b-4a đường N6, Khu Công Nghệ Cao, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
483;TI0944I;TI;Cty TNHH MTV Băng Keo Cát Tường;Số 211, đường số 1, Kp Ông Nhiêu, P.Long Trường, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
484;TI0945I;TI;Cty TNHH SX - XD - DV - TM Điền Trung;3/38 đường 385, P.Tăng Nhơn Phú A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
485;TI0947I;TI;Cty TNHH phần mềm Dầu Khí Q.M;số 05 đường Phan Đình Phùng, P.Hiệp Phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
486;TI0948I;TI;Cty TNHH TM XD & TTNT Thuận Giao;150/3C đường Man Thiện, tổ 5, Kp5, P.Tăng Nhơn Phú A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
487;TI0952I;TI;Công ty TNHH SX TMDV Tiến Tú;88 đường Đình Phong Phú, P.TNP B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
488;TI0953I;TI;Công ty TNHH TM DV GN VT Tuấn Minh;53B Nam Hòa, KP3, P.Phước Long A, Quận 9,TP HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
489;TI0954I;TI;CTY TNHH MTV TM DV Vận Tải Ngọc Bích;108 Nam Hòa, tổ 8, Kp2, P.Phước Long A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
490;TI0956I;TI;Công ty TNHH PTPMvà giải pháp Tấn Đạt;954 Nguyễn Xiển, P.Long Bình, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
491;TI0957I;TI;Công ty TNHH một TV SXTM XD Hồng Giàu;1195 Nguyễn Duy Trinh, Phước Lai, P.Long Trường, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
492;TI0962I;TI;Công ty TNHH TM DV và KT Việt Đan;75/20/4 Đường 4, Khu phô ích Thạnh, P. Trường Thạnh, Quận 9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
493;TI0964I;TI;Cty TNHH TM VT Long Toàn Thắng;số 45, đường 297, P.Phước Long B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
494;TI0966I;TI;Công ty TNHH Cảnh quan Nông Lâm;1200/6A Nguyễn Xiển, P.Long Bình, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
495;TI0967I;TI;Công ty  TNHH TVXD & TM Đức Tín;28 Ngô Quyền phường Hiệp Phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
496;TI0970I;TI;DNTN Hồ Trường Phát;122/2 đường 61 phường Phước Long B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
497;TI0974I;TI;DNTN Xăng dầu Hồng Xuân Hoàng;440 Nguyễn Xiển KP.Gò Công, P.Long Thạnh Mỹ, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
498;TI0977I;TI;Công ty TNHH một TV TMDV VT Lộc Cường;72B Tân Lập 1 tổ 11, KP 3, P.Hiệp Phú, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
499;TI0978I;TI;Công ty TNHH TMDV - SX Phúc Long;40/10 Khổng Tử, KP1, P.Hiệp Phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
500;TI0981I;TI;Công ty CP Công  Nghệ  Sinh Học Dược Nanogen;Lô I-5C Khu CNC, P.TNP A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
501;TI0984I;TI;Công ty TNHH TMDV Hợp Thanh;16/14/2 Mạc Tích Hiển, phường Long Bình, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
502;TI0985I;TI;Công ty TNHH Công nghệ Dầu Quốc Tế;12/36 Đường 339, KP5, P. Phước Long B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
503;TI0988I;TI;Công ty TNHH SX TMDV Triệu Tài;9/6 đường số 1 Phước Hiệp, phường Trường Thạnh, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
504;TI0989I;TI;Công ty Cổ phần cầu đường Đông Nam;78 đường 10, KDC Khang Điền, Phước Long B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
505;TI0990I;TI;Công ty  TNHH TM DV ý Nhi;08 đường 2 phường Phước Bình, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
506;TI0992I;TI;Công ty TNHH TM Thép Tân Việt Nhật;607 KP6, Đỗ Xuân Hợp, P.Phước Long B, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
507;TI0994I;TI;Công ty TNHH DVTM VT Thanh Phú;29A tổ 8 đường 311, KP5, P.Hiệp Phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
508;TI0995I;TI;Công ty TNHH Nội thất Thanh Phát;58 đường 379 KP6, P.TNP A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
509;TI1000I;TI;Công ty TNHH DV Bảo vệ Thanh Long;27/10 Đường 2, Phường Long Trường, Quận 9, TP HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
510;TI1002I;TI;Công ty TNHH MTV Nha khoa Việt Hưng;17 - 19 Lê Văn Việt, Phường Hiệp phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
511;TI1003I;TI;CTy CP  Tư Vấn Đầu Tư XD Sài Gòn Trung Nam;188 Đường số 10, P.Phước Bình, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
512;TI1005I;TI;Cty TNHH Thương mại Chúng Ta;36 Đường DS109, KP6, P. Phước Long B, Q.9, TP.HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
513;TI1012I;TI;Cty TNHH Tổ Chim;369/6 Đỗ Xuân Hợp, Kp5, P.Phước Long B, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
514;TI1016I;TI;Cty TNHH Máy Sao Việt;12 Đình Phong Phú, P.Tăng Nhơn Phú B, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
515;TI1018I;TI;CTy TNHH Vận Tải Ngọc Mai;534 Xa lộ Hà Nội, Tổ 2, KP1, P.Phước Long A, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
516;TI1019I;TI;CTy  TNHH TM Dược Phẩm Ngọc Linh Trang;40-42 Đường 16, Khu Dân Cư Nam Long, P.Phước Long B, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
517;TI1023I;TI;Cty TNHH CK-XD- TM-DV Hưng Trang Phát;211/5 Đường 120, KP2, P.Tân Phú, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
518;TI1025I;TI;Cty TNHH Hàng Hải và CN Hải Dương;220A Nam Hòa, KP6, P.Phước Long A, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
519;TI1026I;TI;Cty TNHH TM-DV Thanh Nga;63 Đường Man Thiện, KP5,P. Hiệp Phú, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
520;TI1028I;TI;Cty TNHH An Giáp;Villa IIA23, Lakeview Villas, Số 354/1 Đường Hoàng Hữu Nam, P. Long Thạnh Mỹ, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
521;TI1029I;TI;Cty CP Công Nghệ Thông Minh  An Nhiên;137 Đường 475, P.Phước Long B, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
522;TI1032I;TI;CTy TNHH Điền Ngọc Sơn;D1/9 Đường 385, Tổ 8, KP2, P.Tăng Nhơn Phú A, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
523;TI1035I;TI;Cty TNHH 1TV TM Phúc Khang Lộc;16 Đại Lộ 2, Tổ 1, KP6, P.Phước Bình, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
524;TI1036I;TI;Cty TNHH Đào Tạo Bắc Âu;1385/1 Nguyễn Duy Trinh,P.Trường Thạnh, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
525;TI1037I;TI;Cty TNHH XD Cơ Điện Nam Việt;22 đường 5, KP6, Gia Hoà, Phước Long B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
526;TI1038I;TI;Cty TNHH Vạng Linh;101A Đỗ Xuân Hợp, P.Phước Long B, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
527;TI1040I;TI;Cty TNHH An Pha Hiền;219 Đường số 9, P.Phước Bình, Q9, Tp.HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
528;TI1041I;TI;Cty TNHH Thuốc Thú Y Thủy Sản Thiên Hà;A40.7 CC E.Home Đông Sài Gòn 1, số 86 Dương Đình Hội, KP6,P.Phước Long B, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
529;TI1045I;TI;Cty CP Thiết Kế XD Công Nghệ Xanh;157/5 đường tân lập 2, p.hiệp phú, quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
530;TI1047I;TI;Cty TNHH Địa Tin Học;D502, Lô C2, Đường D1, P.Hiệp Phú, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
531;TI1049I;TI;Cty TNHH TM SX Hoàng Tín Phát;39/12A Đường số 39, KP Bến Cát, P.Phước Bình, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
532;TI1052I;TI;Cty TNHH TM Khánh Cường;28A, đường 297, kp4, p.Phước Long B, quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
533;TI1054I;TI;Cty TNHH 1TV Phương Bảo Trí;50 đường 18A, KP3, P.Phước Bình, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
534;TI1056I;TI;Công ty TNHH MTV XD TM Sáu Yên;59 KP1 Phường Phước Bình, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
535;TI1059I;TI;Cty TNHH MTV TM DV DL Thiên Tân;89/1/7 Đường số 8, KP. 2, P. Tăng Nhơn Phú B, Quận 9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
536;TI1060I;TI;Cty TNHH MTV XD TM DV Quang Dũng;708 Nguyễn Xiển, ấp Long Hòa, Long Thạnh Mỹ, Q.9 (6/5 ấp long bửu, p.long bình, quận 9);8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
537;TI1062I;TI;Cty TNHH TM DV Máy Tính Trần Nguyễn;154 Tây Hoà, KP4, P.Phước Long A, Q. 9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
538;TI1066I;TI;Cty CP Môi Trường Việt Đức;70/15 Đường 109, KP5,PLB,Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
539;TI1069I;TI;Cty CP Đầu tư và XD Hồng Gia Phát;161 đường số 6, P.Phước Bình, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
540;TI1070I;TI;Cty TNHH TM DV xuất nhập khẩu Công Nghệ Mới;Số 9, Tự Do, P.Hiệp Phú, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
541;TI1071I;TI;Công ty TNHH TM Lá Phong;145/10/4A Đỗ Xuân Hợp, KP2, P. Phước Long B, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
542;TI1075I;TI;Cty TNHH 1TV TM DV Sắt Thép Thuý Hùng;227B Lã Xuân Oai, P.Long Trường, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
543;TI1076I;TI;CTY TNHH SX Đồ Chơi Mạnh Dung;149/9 Đường Trường Lưu, KP. Ông Nhiêu, P.Long Trường, Quận 9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
544;TI1079I;TI;Cty CP Thiên Đại Phát;Số 39/95/2 Đường 102, P. Tăng Nhơn Phú A, Q. 9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
